ID,sex,acceptTime,submitTime,condition,list,trials,phase,trial,type,text,choice1,choice2,choice3,choice4,correctChoice,oldNew,response,choice,choice1_order,choice2_order,choice3_order,choice4_order,choice_order,binaryCorrect,noun,inner,outer
1,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial39_NAdjNum_nine green suitcases_suitcases nine green_nine green suitcases_suitcases green nine_green nine suitcases_3_old_radio7,test,testTrial39,NAdjNum,nine green suitcases,suitcases nine green,nine green suitcases,suitcases green nine,green nine suitcases,3,old,radio7,3,NOuterInner,OuterInnerN,NInnerOuter,InnerOuterN,NInnerOuter,1,suitcase,green,nine
2,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial37_NAdjNum_five dirty hats_five dirty hats_hats five dirty_dirty five hats_hats dirty five_4_new_radio8,test,testTrial37,NAdjNum,five dirty hats,five dirty hats,hats five dirty,dirty five hats,hats dirty five,4,new,radio8,4,OuterInnerN,NOuterInner,InnerOuterN,NInnerOuter,NInnerOuter,1,hat,dirty,five
3,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial38_NAdjNum_four orange pillows_pillows four orange_pillows orange four_four orange pillows_orange four pillows_2_new_radio6,test,testTrial38,NAdjNum,four orange pillows,pillows four orange,pillows orange four,four orange pillows,orange four pillows,2,new,radio6,2,NOuterInner,NInnerOuter,OuterInnerN,InnerOuterN,NInnerOuter,1,pillow,orange,four
4,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial31_NAdjNum_ten blue spatulas_spatulas ten blue_ten blue spatulas_spatulas blue ten_blue ten spatulas_3_new_radio7,test,testTrial31,NAdjNum,ten blue spatulas,spatulas ten blue,ten blue spatulas,spatulas blue ten,blue ten spatulas,3,new,radio7,3,NOuterInner,OuterInnerN,NInnerOuter,InnerOuterN,NInnerOuter,1,spatula,blue,ten
5,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial32_NAdjNum_one orange lamp_lamp one orange_lamp orange one_one orange lamp_orange one lamp_2_new_radio6,test,testTrial32,NAdjNum,one orange lamp,lamp one orange,lamp orange one,one orange lamp,orange one lamp,2,new,radio6,2,NOuterInner,NInnerOuter,OuterInnerN,InnerOuterN,NInnerOuter,1,lamp,orange,one
6,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial30_NAdj_blue tray_blue tray_tray blue_-----_-----_2_new_radio6,test,testTrial30,NAdj,blue tray,blue tray,tray blue,-----,-----,2,new,radio6,2,twoWords,twoWords,twoWords,twoWords,twoWords,1,tray,blue,NA
7,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial35_NAdjNum_eight blue ducks_blue eight ducks_ducks blue eight_ducks eight blue_eight blue ducks_2_new_radio6,test,testTrial35,NAdjNum,eight blue ducks,blue eight ducks,ducks blue eight,ducks eight blue,eight blue ducks,2,new,radio6,2,InnerOuterN,NInnerOuter,NOuterInner,OuterInnerN,NInnerOuter,1,duck,blue,eight
8,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial36_NAdj_stone car_stone car_car stone_-----_-----_2_new_radio6,test,testTrial36,NAdj,stone car,stone car,car stone,-----,-----,2,new,radio6,2,twoWords,twoWords,twoWords,twoWords,twoWords,1,car,stone,NA
9,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial33_NNum_one bowl_one bowl_bowl one_-----_-----_2_new_radio6,test,testTrial33,NNum,one bowl,one bowl,bowl one,-----,-----,2,new,radio6,2,twoWords,twoWords,twoWords,twoWords,twoWords,1,bowl,one,NA
10,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial34_NAdjNum_one orange cow_one orange cow_orange one cow_cow one orange_cow orange one_4_new_radio8,test,testTrial34,NAdjNum,one orange cow,one orange cow,orange one cow,cow one orange,cow orange one,4,new,radio8,4,OuterInnerN,InnerOuterN,NOuterInner,NInnerOuter,NInnerOuter,1,cow,orange,one
11,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial48_NAdjNum_five stone trays_stone five trays_five stone trays_trays five stone_trays stone five_4_new_radio8,test,testTrial48,NAdjNum,five stone trays,stone five trays,five stone trays,trays five stone,trays stone five,4,new,radio8,4,InnerOuterN,OuterInnerN,NOuterInner,NInnerOuter,NInnerOuter,1,tray,stone,five
12,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial49_NAdjNum_seven green darts_green seven darts_darts green seven_darts seven green_seven green darts_2_old_radio6,test,testTrial49,NAdjNum,seven green darts,green seven darts,darts green seven,darts seven green,seven green darts,2,old,radio6,2,InnerOuterN,NInnerOuter,NOuterInner,OuterInnerN,NInnerOuter,1,dart,green,seven
13,A139LBVN44OKVE,female,"Wed Mar 13 09:55:45 PDT 2013","Wed Mar 13 10:08:50 PDT 2013",NAdjNum,list_A_NumAdj,testTrial40_NAdjNum_six wooden shovels_shovels wooden six_wooden six shovels_shovels six wooden_six wooden shovels_1_old_radio5,test,testTrial40,NAdjNum,six wooden shovels,shovels wooden six,wooden six shovels,shovels six wooden,six wooden shovels,1,old,radio5,1,NInnerOuter,InnerOuterN,NOuterInner,OuterInnerN,NInnerOuter,1,shovel,wooden,six
