word,cat
shovel_shovels,noun
banana_bananas,noun
suitcase_suitcases,noun
shirt_shirts,noun
couch_couches,noun
ribbon_ribbons,noun
pineapple_pineapples,noun
pear_pears,noun
leaf_leaves,noun
dart_darts,noun
chair_chairs,noun
box_boxes,noun
handbag_handbags,noun
key_keys,noun
vase_vases,noun
bowl_bowls,noun
pig_pigs,noun
shoe_shoes,noun
hat_hats,noun
lamp_lamps,noun
duck_ducks,noun
car_cars,noun
cow_cows,noun
cherry_cherries,noun
pitcher_pitchers,noun
pillow_pillows,noun
spatula_spatulas,noun
scarf_scarves,noun
tray_trays,noun
horse_horses,noun
black,adj_inner
white,adj_inner
red,adj_inner
green,adj_inner
blue,adj_inner
yellow,adj_inner
brown,adj_inner
orange,adj_inner
big,adj_outer
giant,adj_outer
huge,adj_outer
large,adj_outer
little,adj_outer
massive,adj_outer
small,adj_outer
tiny,adj_outer
one,num
two,num
three,num
four,num
five,num
six,num
seven,num
eight,num
nine,num
ten,num
blue,adj_original
green,adj_original
orange,adj_original
purple,adj_original
dirty,adj_original
furry,adj_original
spotted,adj_original
wooden,adj_original
stone,adj_original
striped,adj_original
