buttonA,buttonB,correct,modifier,noun,response,suj,trial
horses those,those horses,1.0,those,horses,horses those,ENG3015,1.0
lamp this,this lamp,1.0,this,lamp,lamp this,ENG3015,2.0
that handbag,handbag that,1.0,that,handbag,handbag that,ENG3015,3.0
these shirts,shirts these,1.0,these,shirts,shirts these,ENG3015,4.0
those chairs,chairs those,1.0,those,chairs,chairs those,ENG3015,5.0
cherry this,this cherry,1.0,this,cherry,cherry this,ENG3015,6.0
box that,that box,1.0,that,box,box that,ENG3015,7.0
trays these,these trays,1.0,these,trays,trays these,ENG3015,8.0
cows those,those cows,1.0,those,cows,cows those,ENG3015,9.0
this shoe,shoe this,1.0,this,shoe,shoe this,ENG3015,10.0
spatula that,that spatula,1.0,that,spatula,spatula that,ENG3015,11.0
pears these,these pears,1.0,these,pears,pears these,ENG3015,12.0
keys those,those keys,1.0,those,keys,keys those,ENG3015,13.0
this hat,hat this,1.0,this,hat,hat this,ENG3015,14.0
that pillow,pillow that,1.0,that,pillow,pillow that,ENG3015,15.0
stone car,car stone,1.0,stone,car,car stone,ENG3015,16.0
duck striped,striped duck,1.0,striped,duck,duck striped,ENG3015,17.0
suitcase blue,blue suitcase,1.0,blue,suitcase,suitcase blue,ENG3015,18.0
shovel orange,orange shovel,1.0,orange,shovel,shovel orange,ENG3015,19.0
vase purple,purple vase,1.0,purple,vase,vase purple,ENG3015,20.0
tray stone,stone tray,1.0,stone,tray,tray stone,ENG3015,21.0
striped handbag,handbag striped,1.0,striped,handbag,handbag striped,ENG3015,22.0
vase blue,blue vase,1.0,blue,vase,vase blue,ENG3015,23.0
shoe orange,orange shoe,1.0,orange,shoe,shoe orange,ENG3015,24.0
pillow purple,purple pillow,1.0,purple,pillow,pillow purple,ENG3015,25.0
shovel stone,stone shovel,1.0,stone,shovel,shovel stone,ENG3015,26.0
striped box,box striped,1.0,striped,box,box striped,ENG3015,27.0
blue cow,cow blue,1.0,blue,cow,cow blue,ENG3015,28.0
orange pear,pear orange,1.0,orange,pear,pear orange,ENG3015,29.0
purple car,car purple,1.0,purple,car,car purple,ENG3015,30.0
