age,buttonA,buttonB,buttonC,buttonD,cond,date,gender,modInner,modOuter,noun,response,responseButton,suj,trial,nbMods,nounSing,pre,iso,sujRaw,batch,batchC
19.0,onethatpig,thatonepig,pigthatone,pigonethat,dem-num,2018-03-20 13:07,F,one,that,pig,onethatpig,0.0,THA0001,0.0,2,pig,,0.0,0001,March,0.5
19.0,thosesixshoe,shoethosesix,shoesixthose,sixthoseshoe,dem-num,2018-03-20 13:07,F,six,those,shoe,thosesixshoe,0.0,THA0001,1.0,2,shoe,,1.0,0001,March,0.5
19.0,shirtthose,thoseshirt,,,dem-num,2018-03-20 13:07,F,,those,shirt,thoseshirt,1.0,THA0001,2.0,1,shirt,1.0,,0001,March,0.5
19.0,cowonethis,onethiscow,cowthisone,thisonecow,dem-num,2018-03-20 13:07,F,one,this,cow,thisonecow,3.0,THA0001,3.0,2,cow,,1.0,0001,March,0.5
19.0,onepineapple,pineappleone,,,dem-num,2018-03-20 13:07,F,,one,pineapple,onepineapple,0.0,THA0001,4.0,1,pineapple,1.0,,0001,March,0.5
19.0,thatpear,pearthat,,,dem-num,2018-03-20 13:07,F,,that,pear,thatpear,0.0,THA0001,5.0,1,pear,1.0,,0001,March,0.5
19.0,chairthis,thischair,,,dem-num,2018-03-20 13:07,F,,this,chair,thischair,1.0,THA0001,6.0,1,chair,1.0,,0001,March,0.5
19.0,handbagthesefive,fivethesehandbag,handbagfivethese,thesefivehandbag,dem-num,2018-03-20 13:07,F,five,these,handbag,thesefivehandbag,3.0,THA0001,7.0,2,handbag,,1.0,0001,March,0.5
19.0,tenpillow,pillowten,,,dem-num,2018-03-20 13:07,F,,ten,pillow,tenpillow,0.0,THA0001,8.0,1,pillow,1.0,,0001,March,0.5
19.0,shovelthose,thoseshovel,,,dem-num,2018-03-20 13:07,F,,those,shovel,thoseshovel,1.0,THA0001,9.0,1,shovel,1.0,,0001,March,0.5
19.0,leaffivethese,leafthesefive,fivetheseleaf,thesefiveleaf,dem-num,2018-03-20 13:07,F,five,these,leaf,thesefiveleaf,3.0,THA0001,10.0,2,leaf,,1.0,0001,March,0.5
19.0,shoethesefive,shoefivethese,thesefiveshoe,fivetheseshoe,dem-num,2018-03-20 13:07,F,five,these,shoe,thesefiveshoe,2.0,THA0001,11.0,2,shoe,,1.0,0001,March,0.5
19.0,chairthreethose,threethosechair,chairthosethree,thosethreechair,dem-num,2018-03-20 13:07,F,three,those,chair,thosethreechair,3.0,THA0001,12.0,2,chair,,1.0,0001,March,0.5
