sing,plur,cat
banana,banana,noun
box,box,noun
chair,chair,noun
couch,couch,noun
dart,dart,noun
handbag,handbag,noun
key,key,noun
leaf,leaf,noun
pear,pear,noun
pineapple,pineapple,noun
ribbon,ribbon,noun
shirt,shirt,noun
shovel,shovel,noun
suitcase,suitcase,noun
vase,vase,noun
bowl,bowl,noun
car,car,noun
cherry,cherry,noun
cow,cow,noun
duck,duck,noun
hat,hat,noun
horse,horse,noun
lamp,lamp,noun
pig,pig,noun
pillow,pillow,noun
pitcher,pitcher,noun
scarf,scarf,noun
shoe,shoe,noun
spatula,spatula,noun
tray,tray,noun
