buttonA,buttonB,correct,modifier,noun,response,suj,trial
that cherry,cherry that,1.0,that,cherry,cherry that,ENG3012,1.0
these suitcases,suitcases these,1.0,these,suitcases,suitcases these,ENG3012,2.0
those cows,cows those,1.0,those,cows,cows those,ENG3012,3.0
this vase,vase this,1.0,this,vase,vase this,ENG3012,4.0
dart that,that dart,1.0,that,dart,dart that,ENG3012,5.0
these chairs,chairs these,1.0,these,chairs,chairs these,ENG3012,6.0
those handbags,handbags those,1.0,those,handbags,handbags those,ENG3012,7.0
this duck,duck this,1.0,this,duck,duck this,ENG3012,8.0
key that,that key,1.0,that,key,key that,ENG3012,9.0
bowls these,these bowls,1.0,these,bowls,bowls these,ENG3012,10.0
shirts those,those shirts,1.0,those,shirts,shirts those,ENG3012,11.0
lamp this,this lamp,1.0,this,lamp,lamp this,ENG3012,12.0
pear that,that pear,1.0,that,pear,pear that,ENG3012,13.0
shovels these,these shovels,1.0,these,shovels,shovels these,ENG3012,14.0
those pitchers,pitchers those,1.0,those,pitchers,pitchers those,ENG3012,15.0
spotted pillow,pillow spotted,1.0,spotted,pillow,pillow spotted,ENG3012,16.0
blue pineapple,pineapple blue,1.0,blue,pineapple,pineapple blue,ENG3012,17.0
pig green,green pig,1.0,green,pig,pig green,ENG3012,18.0
orange scarf,scarf orange,1.0,orange,scarf,scarf orange,ENG3012,19.0
wooden hat,hat wooden,1.0,wooden,hat,hat wooden,ENG3012,20.0
lamp spotted,spotted lamp,1.0,spotted,lamp,lamp spotted,ENG3012,21.0
hat blue,blue hat,1.0,blue,hat,hat blue,ENG3012,22.0
green cow,cow green,1.0,green,cow,cow green,ENG3012,23.0
orange scarf,scarf orange,1.0,orange,scarf,scarf orange,ENG3012,24.0
pitcher wooden,wooden pitcher,1.0,wooden,pitcher,pitcher wooden,ENG3012,25.0
key spotted,spotted key,1.0,spotted,key,key spotted,ENG3012,26.0
pig blue,blue pig,1.0,blue,pig,pig blue,ENG3012,27.0
pineapple green,green pineapple,1.0,green,pineapple,pineapple green,ENG3012,28.0
orange handbag,handbag orange,1.0,orange,handbag,handbag orange,ENG3012,29.0
wooden duck,duck wooden,1.0,wooden,duck,duck wooden,ENG3012,30.0
